q (mL/min),,q<sub>g</sub> (L/min),c<sub>0</sub> (mol/L),,,,,,,,,,,,,,c (mol/L),,,,,,
Liquid stream 1,Liquid stream 2,Gas stream,Liquid stream 1,,,,,,,Liquid stream 2,,,,,,,Outlet stream,,,,,,
-,-,-,H+,I-,I2,I3-,IO3-,H2BO3-,H3BO3,H+,I-,I2,I3-,IO3-,H2BO3-,H3BO3,H+,I-,I2,I3-,IO3-,H2BO3-,H3BO3
0.2,0.2,0.2,0.1125,0,0,0,0,0,0,0,0.05,0,0,0.01,0.125,0.125,,,,0.002025,,,
0.4,0.4,0.2,0.1125,0,0,0,0,0,0,0,0.05,0,0,0.01,0.125,0.125,,,,0.001813,,,
0.6,0.6,0.2,0.1125,0,0,0,0,0,0,0,0.05,0,0,0.01,0.125,0.125,,,,0.001692,,,
0.8,0.8,0.2,0.1125,0,0,0,0,0,0,0,0.05,0,0,0.01,0.125,0.125,,,,0.001574,,,
1,1,0.2,0.1125,0,0,0,0,0,0,0,0.05,0,0,0.01,0.125,0.125,,,,0.001429,,,
0.2,0.2,0.3,0.1125,0,0,0,0,0,0,0,0.05,0,0,0.01,0.125,0.125,,,,0.001789,,,
2,2,0.2,0.1125,0,0,0,0,0,0,0,0.05,0,0,0.01,0.125,0.125,,,,0.001292,,,
0.6,0.6,0.3,0.1125,0,0,0,0,0,0,0,0.05,0,0,0.01,0.125,0.125,,,,0.001528,,,
0.8,0.8,0.3,0.1125,0,0,0,0,0,0,0,0.05,0,0,0.01,0.125,0.125,,,,0.001449,,,
4,4,0.2,0.1125,0,0,0,0,0,0,0,0.05,0,0,0.01,0.125,0.125,,,,0.001207,,,
6,6,0.2,0.1125,0,0,0,0,0,0,0,0.05,0,0,0.01,0.125,0.125,,,,0.001165,,,
8,8,0.2,0.1125,0,0,0,0,0,0,0,0.05,0,0,0.01,0.125,0.125,,,,0.001045,,,
10,10,0.2,0.1125,0,0,0,0,0,0,0,0.05,0,0,0.01,0.125,0.125,,,,0.000906,,,
10,10,0.3,0.1125,0,0,0,0,0,0,0,0.05,0,0,0.01,0.125,0.125,,,,0.000943,,,
12,12,0.8,0.1125,0,0,0,0,0,0,0,0.05,0,0,0.01,0.125,0.125,,,,0.000304,,,
4,4,1,0.1125,0,0,0,0,0,0,0,0.05,0,0,0.01,0.125,0.125,,,,0.000355,,,
6,6,1,0.1125,0,0,0,0,0,0,0,0.05,0,0,0.01,0.125,0.125,,,,0.000402,,,
10,10,1.25,0.1125,0,0,0,0,0,0,0,0.05,0,0,0.01,0.125,0.125,,,,0.000203,,,
10,10,1.5,0.1125,0,0,0,0,0,0,0,0.05,0,0,0.01,0.125,0.125,,,,0.000152,,,
6,6,2,0.1125,0,0,0,0,0,0,0,0.05,0,0,0.01,0.125,0.125,,,,0.000166,,,
10,10,1.75,0.1125,0,0,0,0,0,0,0,0.05,0,0,0.01,0.125,0.125,,,,0.000207,,,
10,10,2.25,0.1125,0,0,0,0,0,0,0,0.05,0,0,0.01,0.125,0.125,,,,0.000118,,,
10,10,2.5,0.1125,0,0,0,0,0,0,0,0.05,0,0,0.01,0.125,0.125,,,,0.000091,,,
10,10,2.75,0.1125,0,0,0,0,0,0,0,0.05,0,0,0.01,0.125,0.125,,,,0.000101,,,