l (m),r (m),ρ<sub>g</sub> (kg/m<sup>3</sup>),u<sub>g</sub> (m/s),μ<sub>g</sub> (Pa·s),ρ (kg/m<sup>3</sup>),u (m/s),μ (Pa·s),T (<sup>o</sup>C),-,-
Reactor Length,Reactor Radius,Gas Phase Density,Gas Phase Velocity,Gas Phase Viscosity,Phase Density,Phase Velocity,Phase Viscosity,Temperature,Has Gas Phase,Is Liquid Phase Miscible
0.05,0.0005,1.183,4.246285,0.0000181,889,0.008493,0.00089,25,TRUE,TRUE
0.05,0.0005,1.183,4.246285,0.0000181,889,0.016985,0.00089,25,TRUE,TRUE
0.05,0.0005,1.183,4.246285,0.0000181,889,0.025478,0.00089,25,TRUE,TRUE
0.05,0.0005,1.183,4.246285,0.0000181,889,0.03397,0.00089,25,TRUE,TRUE
0.05,0.0005,1.183,4.246285,0.0000181,889,0.042463,0.00089,25,TRUE,TRUE
0.05,0.0005,1.183,6.369427,0.0000181,889,0.008493,0.00089,25,TRUE,TRUE
0.05,0.0005,1.183,4.246285,0.0000181,889,0.084926,0.00089,25,TRUE,TRUE
0.05,0.0005,1.183,6.369427,0.0000181,889,0.025478,0.00089,25,TRUE,TRUE
0.05,0.0005,1.183,6.369427,0.0000181,889,0.03397,0.00089,25,TRUE,TRUE
0.05,0.0005,1.183,4.246285,0.0000181,889,0.169851,0.00089,25,TRUE,TRUE
0.05,0.0005,1.183,4.246285,0.0000181,889,0.254777,0.00089,25,TRUE,TRUE
0.05,0.0005,1.183,4.246285,0.0000181,889,0.339703,0.00089,25,TRUE,TRUE
0.05,0.0005,1.183,4.246285,0.0000181,889,0.424628,0.00089,25,TRUE,TRUE
0.05,0.0005,1.183,6.369427,0.0000181,889,0.424628,0.00089,25,TRUE,TRUE
0.05,0.0005,1.183,16.985138,0.0000181,889,0.509554,0.00089,25,TRUE,TRUE
0.05,0.0005,1.183,21.231423,0.0000181,889,0.169851,0.00089,25,TRUE,TRUE
0.05,0.0005,1.183,21.231423,0.0000181,889,0.254777,0.00089,25,TRUE,TRUE
0.05,0.0005,1.183,26.539278,0.0000181,889,0.424628,0.00089,25,TRUE,TRUE
0.05,0.0005,1.183,31.847134,0.0000181,889,0.424628,0.00089,25,TRUE,TRUE
0.05,0.0005,1.183,42.462845,0.0000181,889,0.254777,0.00089,25,TRUE,TRUE
0.05,0.0005,1.183,37.154989,0.0000181,889,0.424628,0.00089,25,TRUE,TRUE
0.05,0.0005,1.183,47.770701,0.0000181,889,0.424628,0.00089,25,TRUE,TRUE
0.05,0.0005,1.183,53.078556,0.0000181,889,0.424628,0.00089,25,TRUE,TRUE
0.05,0.0005,1.183,58.386412,0.0000181,889,0.424628,0.00089,25,TRUE,TRUE