ω (rad/s),q (mL/min),c<sub>0</sub> (mol/L),,,c (mol/L),,
-,Liquid stream,Liquid stream,,,Outlet stream,,
-,-,2-Bromobenzyl Alcohol,Acetic Anhydride,2-Bromobenzyl Acetate,2-Bromobenzyl Alcohol,Acetic Anhydride,2-Bromobenzyl Acetate
37.68,17,0.1,0.1,0,,,0.0247
37.68,8.5,0.1,0.1,0,,,0.0383
37.68,4.26,0.1,0.1,0,,,0.0530
37.68,2.84,0.1,0.1,0,,,0.0627
37.68,2,0.1,0.1,0,,,0.0693
6.28,17,0.1,0.1,0,,,0.0271
6.28,8.5,0.1,0.1,0,,,0.0398
6.28,4.26,0.1,0.1,0,,,0.0567
6.28,2.84,0.1,0.1,0,,,0.0647
6.28,2,0.1,0.1,0,,,0.0715